"","score","text","Review"
"1",1,"RT @TeamSalman: Upar Khuda, Neeche #SalmanKhan &lt;3 
We Love You Till Our last breathe bhaijaan &lt;3

#WeLoveYouSalmanKhan #BlackBuckPaochingCa‚Ä¶","Happy"
"2",0,"RT @TeamSalman: #SalmanKhan sir need Ur Prayers Ì†ΩÌπè
#WeStandWithSalmanKhan

#WeLoveYouSalmanKhan #BlackBuckPaochingCase #SalmanConvicted #Sal‚Ä¶","Surprise"
"3",0,"RT @TeamSalman: Wah Re Indian Judicial System 
Ì†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±è

#SalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingCase #SalmanConvicted #Salm‚Ä¶","Surprise"
"4",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"5",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"6",-1,"RT @MinakshiKandwal: In scorching heat of #jodhpur chaach‡§õ‡§æ‡§Ç‡§õ) proved to be life saviour 4 journalists covering #SalmanVerdict #BlackbuckPo‚Ä¶","Sadness"
"7",0,"Bollywood ke selective outrage walon isse bhi RT kar do @deespeak @sonamakapoor @Varun_dvn @Riteishd @RichaChadha‚Ä¶ https://t.co/sXhZHBrEUB","Surprise"
"8",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"9",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"10",-1,"RT @GGG_by_Lia: Sorry @BeingSalmanKhan ‚òπÔ∏è #GodBless U Ì†ΩÌπè
 
It doesn't make sense! Why is it's ok to poach/hunt other animals but not #Blackb‚Ä¶","Sadness"
"11",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"12",-1,"RT @MinakshiKandwal: In scorching heat of #jodhpur chaach‡§õ‡§æ‡§Ç‡§õ) proved to be life saviour 4 journalists covering #SalmanVerdict #BlackbuckPo‚Ä¶","Sadness"
"13",0,"RT @koenamitra: Apparently #SalmanKhan  is convicted because he's Muslim and Saif Ali Khan is acquitted because he's Hindu/Sikh/.../..../..‚Ä¶","Surprise"
"14",0,"RT @ABChoudhary007: Vivek Oberoi after hearing about #SalmanVerdict https://t.co/jgxtMQfo7b","Surprise"
"15",-1,"RT @SalmanFC_com: False Allegations will not work
He will get the Bail soon :)
We support #SalmanKhan

#WeSupportSalmanKhan #WeStandWithSal‚Ä¶","Sadness"
